name,Longitude,Latitude
Aruba,-69.98267711,12.52088038
Afghanistan,66.00473366,33.83523073
Angola,17.53736768,-12.29336054
Anguilla,-63.06498927,18.2239595
Albania,20.04983396,41.14244989
Aland,19.95328768,60.21488688
Andorra,1.56054378,42.54229102
United Arab Emirates,54.3001671,23.90528188
Argentina,-65.17980692,-35.3813488
Armenia,44.92993276,40.28952569
American Samoa,-170.7180258,-14.30445997
Antarctica,19.92108951,-80.50857913
Ashmore and Cartier Is.,123.5838379,-12.42993164
Fr. S. Antarctic Lands,69.22666758,-49.24895485
Antigua and Barb.,-61.79469343,17.2774996
Australia,134.4910001,-25.73288704
Austria,14.1264761,47.58549439
Azerbaijan,47.54599879,40.28827235
Burundi,29.87512156,-3.35939666
Belgium,4.64065114,50.63981576
Benin,2.32785254,9.6417597
Burkina Faso,-1.75456601,12.26953846
Bangladesh,90.23812743,23.86731158
Bulgaria,25.21552909,42.76890318
Bahrain,50.54196932,26.04205135
Canada,-98.30777028,61.36206324
Bahamas,-76.62843038,24.29036702
Bosnia and Herz.,17.76876733,44.17450125
St-Barth????lemy,-62.84067779,17.89880451
Belarus,28.03209307,53.53131377
Belize,-88.71010486,17.20027509
Bermuda,-64.7545589,32.31367802
Bolivia,-64.68538645,-16.70814787
Brazil,-53.09783113,-10.78777702
Barbados,-59.559797,13.18145428
Brunei,114.7220304,4.51968958
Bhutan,90.40188155,27.41106589
Botswana,23.79853368,-22.18403213
Central African Rep.,20.46826831,6.56823297
Switzerland,8.20867471,46.79785878
Chile,-71.38256213,-37.73070989
China,103.8190735,36.56176546
C????te d'Ivoire,-5.5692157,7.6284262
Cameroon,12.73964156,5.69109849
Dem. Rep. Congo,23.64396107,-2.87746289
Congo,15.21965762,-0.83787463
Cook Is.,-159.7872422,-21.21927288
Colombia,-73.08114582,3.91383431
Comoros,43.68253968,-11.87783444
Cape Verde,-23.9598882,15.95523324
Costa Rica,-84.19208768,9.97634464
Cuba,-79.01605384,21.62289528
Cura????ao,-68.97119369,12.19551675
Cayman Is.,-80.91213321,19.42896497
N. Cyprus,33.5684813,35.26277486
Cyprus,33.0060022,34.91667211
Czech Rep.,15.31240163,49.73341233
Germany,10.38578051,51.10698181
Djibouti,42.5606754,11.74871806
Dominica,-61.357726,15.4394702
Denmark,10.02800992,55.98125296
Dominican Rep.,-70.50568896,18.89433082
Algeria,2.61732301,28.15893849
Ecuador,-78.75201922,-1.42381612
Egypt,29.86190099,26.49593311
Eritrea,38.84617011,15.36186618
Spain,-3.64755047,40.24448698
Estonia,25.54248537,58.67192972
Ethiopia,39.60080098,8.62278679
Finland,26.2746656,64.49884603
Fiji,165.4519543,-17.42858032
Falkland Is.,-59.35238956,-51.74483954
France,-2.76172945,42.17344011
Faeroe Is.,-6.88095423,62.05385403
Micronesia,153.2394379,7.45246814
Gabon,11.7886287,-0.58660025
United Kingdom,-2.86563164,54.12387156
Georgia,43.50780252,42.16855755
Guernsey,-2.57239064,49.46809761
Ghana,-1.21676566,7.95345644
Guinea,-10.94066612,10.43621593
Gambia,-15.39601295,13.44965244
Guinea-Bissau,-14.94972445,12.04744948
Eq. Guinea,10.34137924,1.70555135
Greece,22.95555794,39.07469623
Grenada,-61.68220189,12.11725044
Greenland,-41.34191127,74.71051289
Guatemala,-90.36482009,15.69403664
Guam,144.7679102,13.44165626
Guyana,-58.98202459,4.79378034
Hong Kong,114.1138045,22.39827737
Heard I. and McDonald Is.,73.5205171,-53.08724656
Honduras,-86.6151661,14.82688165
Croatia,16.40412899,45.08047631
Haiti,-72.68527509,18.93502563
Hungary,19.39559116,47.16277506
Indonesia,117.2401137,-2.21505456
Isle of Man,-4.53873952,54.22418911
India,79.6119761,22.88578212
Indian Ocean Ter.,104.851898,-10.6478515
Br. Indian Ocean Ter.,72.44541229,-7.33059751
Ireland,-8.13793569,53.1754487
Iran,54.27407004,32.57503292
Iraq,43.74353149,33.03970582
Iceland,-18.57396167,64.99575386
Israel,35.00444693,31.46110101
Italy,12.07001339,42.79662641
Jamaica,-77.31482593,18.15694878
Jersey,-2.12689938,49.21837377
Jordan,36.77136104,31.24579091
Japan,138.0308956,37.59230135
Siachen Glacier,77.18011865,35.39236325
Kazakhstan,67.29149357,48.15688067
Kenya,37.79593973,0.59988022
Kyrgyzstan,74.54165513,41.46221943
Cambodia,104.9069433,12.72004786
Kiribati,-45.61110513,0.86001503
St. Kitts and Nevis,-62.68755265,17.2645995
Korea,127.8391609,36.38523983
Kosovo,20.87249811,42.57078707
Kuwait,47.58700459,29.33431262
Lao PDR,103.7377241,18.50217433
Lebanon,35.88016072,33.92306631
Liberia,-9.32207573,6.45278492
Libya,18.00866169,27.03094495
Saint Lucia,-60.96969923,13.89479481
Liechtenstein,9.53574312,47.13665835
Sri Lanka,80.70108238,7.61266509
Lesotho,28.22723131,-29.58003188
Lithuania,23.88719355,55.32610984
Luxembourg,6.07182201,49.76725361
Latvia,24.91235983,56.85085163
Macao,113.5093212,22.22311688
St-Martin,-63.05972851,18.08888611
Morocco,-8.45615795,29.83762955
Monaco,7.40627677,43.75274627
Moldova,28.45673372,47.19498804
Madagascar,46.70473674,-19.37189587
Maldives,73.45713004,3.7287092
